ΠΛΗΣΙΟΝ ΡΟΔΑΥΓΗΣ, Δ.Ε. ΞΗΡΟΒΟΥΝΙΟΥ|1200831|Αρταίων|ΠΙΣΤΙΑΝΑ|Ηπείρου|39.337778|WIND|20.993333|Αδειoδοτημένη Κατασκευή Κεραίας|macro
ΠΛΗΣΙΟΝ ΚΟΡΦΟΒΟΥΝΙΟΥ|1200208|Αρταίων|ΚΟΡΦΟΒΟΥΝΙ|Ηπείρου|39.233333|WIND|20.946389|Αδειoδοτημένη Κατασκευή Κεραίας|macro
Δ. ΑΡΤΑΙΩΝ, Π.Ε. ΑΡΤΑΣ|0050037|Αρταίων|ΚΑΡΥΔΕΑΣ Α/Δ|Ηπείρου|39.3725|OTE|21.023889|Αδειoδοτημένη Κατασκευή Κεραίας|macro
ΠΛΗΣΙΟΝ  ΟΙΚΙΣΜΟΥ ΚΩΣΤΑΚΙΟΙ|1404620|Αρταίων|ΚΩΣΤΑΚΙΟΙ|Ηπείρου|39.142222|COSMOTE|20.966667|Αδειoδοτημένη Κατασκευή Κεραίας|macro
ΓΡΑΜΜΕΝΙΤΣΑ  ΑΡΤΑΣ|1200217|Αρταίων|ΑΡΤΑ|Ηπείρου|39.183611|WIND|20.998611|Αδειoδοτημένη Κατασκευή Κεραίας|macro
ΣΤΡΑΤΩΝΟΣ & 340 ΣΥΝΤΑΓΜΑ ΕΥΖΩΝΩΝ|0050011|Αρταίων|ΑΡΤΑ Α/Τ|Ηπείρου|39.156667|OTE|20.9875|Αδειoδοτημένη Κατασκευή Κεραίας|macro
ΕΠΙ ΑΝΩΝΥΜΗΣ ΟΔΟΥ , Δ.Δ. ΣΤΡΟΓΓΥΛΗΣ|0050133|Αρταίων|ΣΤΡΟΓΓΥΛΗ Τ/Κ|Ηπείρου|39.126944|OTE|20.812778|Αδειoδοτημένη Κατασκευή Κεραίας|macro
ΕΠΙ ΤΗΣ ΟΔΟΥ ΣΚΟΥΦΑ 132|1404681|Αρταίων|GERART_MI|Ηπείρου|39.160278|COSMOTE|20.983611|Αδειoδοτημένη Κατασκευή Κεραίας|macro
2Η ΠΑΡΟΔΟΣ ΠΑΠΑΓΟΥ|1201429|Αρταίων|ΑΡΤΑ 2|Ηπείρου|39.156944|WIND|20.985278|Αδειoδοτημένη Κατασκευή Κεραίας|macro
ΕΠΙ ΑΝΩΝΥΜΗΣ ΟΔΟΥ ΟΙΚΙΣΜΟΥ ΚΑΠΝΟΙ|0050095|Αρταίων|ΚΑΠΝΟΙ Τ/Κ|Ηπείρου|39.358889|OTE|21.038889|Αδειoδοτημένη Κατασκευή Κεραίας|macro
ΘΕΣΗ ΚΟΚΚΙΝΟ ΛΙΘΑΡΙ, ΑΜΜΟΤΟΠΟΣ ΑΡΤΑΣ|1105523|Αρταίων|ΑΜΜΟΤΟΠΟΣ ΑΡΤΑΣ|Ηπείρου|39.262778|VODAFONE|20.922778|Αδειoδοτημένη Κατασκευή Κεραίας|macro
ΠΑΝΤΑΝΑΣΣΑ|1404422|Αρταίων|ΠΑΝΤΑΝΑΣΣΑ Χ|Ηπείρου|39.251111|COSMOTE|20.884444|Αδειoδοτημένη Κατασκευή Κεραίας|macro
ΥΨΩΜΑ ΠΗΓΑΔΙ ΜΑΝΟΥ ΕΛΑΤΟΣ ΚΟΡΦΟΒΟΥΝΙΟΥ|1404083|Αρταίων|ΑΡΤΑ/Χ2|Ηπείρου|39.233611|COSMOTE|20.947222|Αδειoδοτημένη Κατασκευή Κεραίας|macro
2Η ΠΑΡΟΔΟΣ 34ου ΣΥΝΤΑΓΜΑΤΟΣ, Ν. ΑΡΤΑΣ|1000845|Αρταίων|ΑΡΤΑ ΠΟΛΗ|Ηπείρου|39.156111|VODAFONE|20.986667|Αδειoδοτημένη Κατασκευή Κεραίας|macro
ΠΗΓΑΔΙ  ΜΑΝΟΥ  ΚΟΡΦΟΒΟΥΝΙΟΥ||Αρταίων|ΚΟΡΦΟΒΟΥΝΙ   ΑΡΤΑΣ|Ηπείρου|39.233333|ΠΗΓΑΣΟΣ FM|20.946111|Δήλωση Κεραιοσυστημάτων Ραδιοφωνικού Σταθμού|macro
Κορφοβούνι||Αρταίων|Tούρλα|Ηπείρου|39.228333|ΡΑΔΙΟΦΩΝΟ ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ «POWER FM 92.3»|20.9825|Δήλωση Κεραιοσυστημάτων Ραδιοφωνικού Σταθμού|macro
Γ.ΜΑΝΤΣΟΥ 7 ΠΟΛΗ ΑΡΤΑΣ|1002856|Αρταίων|ΠΟΛΗ ΑΡΤΑΣ 2|Ηπείρου|39.161944|VODAFONE|20.986111|Αδειoδοτημένη Κατασκευή Κεραίας|macro
ΠΛ. ΕΘΝΙΚΗΣ ΑΝΤΙΣΤΑΣΕΩΣ & ΚΟΣΜΑ ΑΙΤΩΛΟΥ|1404040|Αρταίων|ΑΡΤΑ Τ/Κ|Ηπείρου|39.162222|COSMOTE|20.985833|Αδειoδοτημένη Κατασκευή Κεραίας|macro
ΑΛΑΜΑΝΟΣ, Δ.Δ. ΒΛΑΧΕΡΝΗΣ|1000343|Αρταίων|ΑΡΤΑ|Ηπείρου|39.182778|VODAFONE|20.999167|Αδειoδοτημένη Κατασκευή Κεραίας|macro
Κορφοβούνι Άρτας||Αρταίων|ΚΟΡΦΟΒΟΥΝΙ|Ηπείρου|39.228611|TOP  FM|20.983611|Δήλωση Κεραιοσυστημάτων Ραδιοφωνικού Σταθμού|macro
ΚΟΡΦΟΒΟΥΝΙ||Αρταίων|ΚΟΡΦΟΒΟΥΝΙ|Ηπείρου|39.228333|ART FM 103.1 MHZ|20.9825|Δήλωση Κεραιοσυστημάτων Ραδιοφωνικού Σταθμού|macro
8o ΧΛΜ ΑΡΤΑΣ ΓΑΒΡΙΑΣ|1156191|Αρταίων|AGROTIKOS PTINOTROFIKOS SYNETAIRISMOS ARTAS|Ηπείρου|39.111667|VODAFONE|20.939722|Δήλωση Εγκατάστασης Κατασκευής Κεραίας Χαμηλής Ηλεκτρομαγνητικής Περιβαλλοντικής Όχλησης|micro
ΚΟΡΩΝΗΣΙΑ|0050043|Αρταίων|ΚΟΡΩΝΗΣΙΑ Τ/Σ|Ηπείρου|39.014722|OTE|20.915278|Δήλωση Εγκατάστασης Κατασκευής Κεραίας Χαμηλής Ηλεκτρομαγνητικής Περιβαλλοντικής Όχλησης|micro
ΚΑΜΠΗ|1407927|Αρταίων|AGET_ARTA|Ηπείρου|39.232778|COSMOTE|20.904167|Δήλωση Εγκατάστασης Κατασκευής Κεραίας Χαμηλής Ηλεκτρομαγνητικής Περιβαλλοντικής Όχλησης|micro
ΚΑΚΟΒΑΤΟΣ|0050034|Αρταίων|ΚΑΚΟΒΑΤΟΣ Τ/Σ|Ηπείρου|39.144444|OTE|20.887222|Δήλωση Εγκατάστασης Κατασκευής Κεραίας Χαμηλής Ηλεκτρομαγνητικής Περιβαλλοντικής Όχλησης|micro
ΠΕΡ. ΟΔΟΣ ΑΡΤΑΣ|1146338|Αρταίων|SYFART ARTA|Ηπείρου|39.161667|VODAFONE|20.98|Δήλωση Εγκατάστασης Κατασκευής Κεραίας Χαμηλής Ηλεκτρομαγνητικής Περιβαλλοντικής Όχλησης|micro
ΑΜΜΟΤΟΠΟΣ ΑΡΤΑΣ|1154871|Αρταίων|METRO ARTA|Ηπείρου|39.2375|VODAFONE|20.920278|Δήλωση Εγκατάστασης Κατασκευής Κεραίας Χαμηλής Ηλεκτρομαγνητικής Περιβαλλοντικής Όχλησης|micro
ΚΤΙΡΙΟ ΟΤΕ , ΟΙΚΙΣΜΟΣ ΑΝΕΖΑ|1404185|Αρταίων|ΑΝΕΖΑ Τ/Κ|Ηπείρου|39.087222|COSMOTE|20.92|Αδειoδοτημένη Κατασκευή Κεραίας|macro
ΠΕΡΙΟΧΗ ΒΛΑΧΕΡΝΑ|1404042|Αρταίων|ΑΡΤΑ-Χ|Ηπείρου|39.1825|COSMOTE|20.998889|Αδειoδοτημένη Κατασκευή Κεραίας|macro
ΠΛΗΣΙΟΝ ΟΙΚΙΣΜΟΥ ΒΛΑΧΕΡΝΑ-ΒΛΑΧΕΡΝΩΝ|2422415|Αρταίων|ΒΛΑΧΕΡΝΑ|Ηπείρου|39.183889|RC|20.998611|Αδειoδοτημένη Κατασκευή Κεραίας|macro
ΣΚΟΥΦΑ 131, ΑΡΤΑ|1203176|Αρταίων|MICRO ΑΡΤΑ CENTER|Ηπείρου|39.160556|WIND|20.984444|Δήλωση Εγκατάστασης Κατασκευής Κεραίας Χαμηλής Ηλεκτρομαγνητικής Περιβαλλοντικής Όχλησης|micro
ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΦΙΛΟΘΕΗΣ|1404401|Αρταίων|ΦΙΛΟΘΕΗ ΑΚ|Ηπείρου|39.161389|COSMOTE|20.935556|Αδειoδοτημένη Κατασκευή Κεραίας|macro
"Πάρκο κεραιών ""Κορφοβούνι"", Βλαχέρνα Άρτας"||Αρταίων|Κορφοβούνι|Ηπείρου|39.230833|ΑΜΒΡΑΚΙΑ FM 91,9|20.984167|Δήλωση Κεραιοσυστημάτων Ραδιοφωνικού Σταθμού|macro
ΔΑΦΝΗ ΚΟΡΦΟΒΟΥΝΙΟΥ ΑΡΤΑΣ||Αρταίων|ΜΕΛΩΔΙΑ - ΚΟΡΦΟΒΟΥΝΙ|Ηπείρου|39.229167|ΜΕΛΩΔΙΑ FM 101,1|20.981667|Δήλωση Κεραιοσυστημάτων Ραδιοφωνικού Σταθμού|macro
ΠΛΗΣΙΟΝ ΟΙΚΙΣΜΟΥ ΨΑΘΟΤΟΠΙ|1404624|Αρταίων|ΨΑΘΟΤΟΠΙ /Χ|Ηπείρου|39.084722|COSMOTE|20.945278|Αδειoδοτημένη Κατασκευή Κεραίας|macro
ΠΗΓΑΔΙ ΜΑΝΟΥ ΚΟΡΦΟΒΟΥΝΙΟΥ|3001677|Αρταίων|ΚΟΡΦΟΒΟΥΝΙ ΑΡΤΑΣ|Ηπείρου|39.233333|ΠΑΝΑΓΙΩΤΗΣ ΠΛΑΚΙΑΣ (ΠΗΓΑΣΟΣ FM)|20.945833|Αδειoδοτημένη Κατασκευή Κεραίας|macro
ΠΑΛΙΟΥΡΙ, Δ.Δ. ΑΝΕΖΑΣ|1404202|Αρταίων|ΑΝΕΖΑ X|Ηπείρου|39.086111|COSMOTE|20.9025|Αδειoδοτημένη Κατασκευή Κεραίας|macro
ΚΟΚΚΙΝΟ ΛΙΘΑΡΙ ΤΟΥ Δ. Δ. ΑΜΜΟΤΟΠΟΥ|1404167|Αρταίων|ΑΜΜΟΤΟΠΟΣ/Χ|Ηπείρου|39.262778|COSMOTE|20.9225|Αδειoδοτημένη Κατασκευή Κεραίας|macro
ΠΛΗΣΙΟΝ ΧΩΡΙΟΥ ΚΩΣΤΑΚΙΟΙ|1414620|Αρταίων|Μ - ΚΩΣΤΑΚΙΟΙ|Ηπείρου|39.143333|COSMOTE|20.965833|Δήλωση Εγκατάστασης Κατασκευής Κεραίας Χαμηλής Ηλεκτρομαγνητικής Περιβαλλοντικής Όχλησης|micro
ΠΛΗΣΙΟΝ ΟΙΚΙΣΜΟΥ ΠΑΛΑΙΟΧΩΡΙ ΞΗΡΟΒΟΥΝΙΟΥ|2422404|Αρταίων|ΠΑΛΑΙΟΧΩΡΙ|Ηπείρου|39.387778|RC|21.020556|Αδειoδοτημένη Κατασκευή Κεραίας|macro
ΝΙΚΟΛΑΟΥ ΣΚΟΥΦΑ 122 - Ο.Τ. 44  ΑΡΤΑ|1221925|Αρταίων|ΑΡΤΑ ΣΚΟΥΦΑ|Ηπείρου|39.160556|WIND|20.983889|Αδειoδοτημένη Κατασκευή Κεραίας|macro
ΠΛΗΣΙΟΝ ΟΙΚΙΣΜΟΥ ΡΟΔΑΥΓΗΣ ΞΗΡΟΒΟΥΝΙΟΥ|2422405|Αρταίων|ΡΟΔΑΥΓΗ|Ηπείρου|39.338611|RC|20.993333|Αδειoδοτημένη Κατασκευή Κεραίας|macro
ΘΕΣΗ ΒΑΛΤΟΣ - ΚΩΣΤΑΚΙΟΙ|1290294|Αρταίων|ΚΩΣΤΑΚΙΟΙ 2|Ηπείρου|39.125278|WIND|20.956389|Αδειoδοτημένη Κατασκευή Κεραίας|macro
ΘΕΣΗ ΠΗΓΑΔΙ ΚΟΡΦΟΒΟΥΝΙΟΥ|8000404|Αρταίων|ΘΕΣΗ ΠΗΓΑΔΙ ΚΟΡΦΟΒΟΥΝΙΟΥ LINK R7|Ηπείρου|39.233333|Ε.Ρ.Ι. (SZ6IOA)|20.946111|Δήλωση Εγκατάστασης Κατασκευής Κεραίας Χαμηλής Ηλεκτρομαγνητικής Περιβαλλοντικής Όχλησης|micro
