Country|Num of URLs
afghanistan|2
albania|19
algeria|242
andorra|5
angola|3
antigua-and-barbuda|4
argentina|290
armenia|16
australia|166
austria|78
the-bahamas|4
bahrain|20
bangladesh|33
barbados|6
belarus|23
belgium|260
belize|7
benin|3
bhutan|1
bolivia|22
bosnia-and-herzegovina|24
botswana|3
brazil|688
brunei|5
bulgaria|62
burkina-faso|2
cambodia|30
cameroon|4
canada|336
cape-verde|2
chile|115
china|307
colombia|117
congo|4
costa-rica|76
cote-d'ivoire|2
croatia|59
cuba|3
cyprus|28
czechia|78
denmark|152
djibouti|2
dominica|1
dominican-republic|48
dr-congo|1
east-timor|1
ecuador|58
egypt|108
el-salvador|28
estonia|24
ethiopia|5
fiji|3
finland|21
france|672
gabon|2
the-gambia|3
georgia|13
germany|16
ghana|4
greece|136
grenada|1
guatemala|36
guinea|2
guyana|3
haiti|3
honduras|28
hungary|167
india|649
indonesia|211
iran|57
iraq|27
ireland|73
israel|98
italy|564
jamaica|18
japan|311
jordan|22
kazakhstan|39
kenya|21
kosovo|15
kuwait|54
kyrgyzstan|7
laos|7
latvia|43
lebanon|9
lesotho|2
liberia|2
libya|12
liechtenstein|2
lithuania|24
luxembourg|17
madagascar|2
malawi|3
malaysia|250
maldives|5
mali|2
marshall-islands|1
mauritania|2
mauritius|17
mexico|392
moldova|20
mongolia|3
montenegro|10
morocco|68
mozambique|4
myanmar-(burma)|21
namibia|7
nepal|37
netherlands|375
new-zealand|53
nicaragua|18
niger|2
nigeria|11
north-macedonia|32
norway|59
oman|27
pakistan|112
panama|23
papua-new-guinea|2
paraguay|40
peru|116
philippines|543
poland|225
portugal|223
qatar|13
romania|118
russia|477
rwanda|2
saint-kitts-and-nevis|1
saint-lucia|2
saint-vincent-and-the-grenadines|1
san-marino|1
saudi-arabia|81
senegal|3
serbia|22
sierra-leone|2
slovakia|70
slovenia|71
somalia|5
south-africa|120
south-korea|57
spain|202
sri-lanka|40
sudan|2
suriname|3
swaziland|3
sweden|84
switzerland|185
syria|19
taiwan|11
tajikistan|4
tanzania|4
thailand|304
togo|3
trinidad-and-tobago|28
tunisia|63
turkey|181
turkmenistan|6
uganda|2
ukraine|183
united-arab-emirates|26
united-kingdom|4
united-states|51
uruguay|12
uzbekistan|19
venezuela|81
vietnam|152
western-sahara|2
yemen|13
zambia|2
zimbabwe|4
